index,most_likely,num_votes,agreement,aggregation_version,subject_id,task,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at,subject_page_url
91002190,yes,10,1.0,4.1.0,91002190,T0,10996,13193.0,114792,"{""ramean"":304.34525551538457,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aalgqsq"",""decmean"":-20.57540927179487,""objectId"":""ZTF23aalgqsq""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/79bbaba2-d05d-4d37-82fe-9c2472744ca7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/e66eb7f2-6fed-42d9-8537-9d7021a11df2.jpeg""}",10,2023-08-01 02:55:46 UTC,classification_count,2023-07-26 13:24:42 UTC,2023-07-26 13:24:42 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91002190><div>91002190</div></a>
84504566,yes,10,1.0,4.1.0,84504566,T0,10996,13193.0,111220,"{""ramean"":104.73434774285712,""decmean"":39.635238685714285,""objectId"":""ZTF22abtsypf""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/5986a110-5d52-4ea2-bf57-b6987453c3ad.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/15584b2c-3fef-49f6-9026-eb2f11df9450.jpeg""}",10,2023-06-23 08:37:19 UTC,classification_count,2023-01-27 12:11:29 UTC,2023-01-27 12:11:29 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/84504566><div>84504566</div></a>
91041605,yes,10,1.0,4.1.0,91041605,T0,10996,13193.0,114872,"{""ramean"":324.3664891631579,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aapyidj"",""decmean"":-4.345286363157894,""objectId"":""ZTF23aapyidj""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/6bf5287a-21c4-4efd-b2cd-9f52df6a8122.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/409b8f6b-907a-4ab1-9293-cce191b46232.jpeg""}",10,2023-08-14 19:27:53 UTC,classification_count,2023-08-02 09:53:15 UTC,2023-08-02 09:53:15 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91041605><div>91041605</div></a>
91041523,yes,10,1.0,4.1.0,91041523,T0,10996,13193.0,114872,"{""ramean"":312.4994818590909,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aajjzbm"",""decmean"":-17.537034831818183,""objectId"":""ZTF23aajjzbm""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/2974b7e6-de4a-485e-bcd2-bdf041159688.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/26ddce92-4add-427a-b3ed-1099ff4fbf7b.jpeg""}",10,2023-08-18 01:53:04 UTC,classification_count,2023-08-02 09:52:42 UTC,2023-08-02 09:52:42 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91041523><div>91041523</div></a>
91041525,yes,10,1.0,4.1.0,91041525,T0,10996,13193.0,114872,"{""ramean"":325.2463173,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aapsuva"",""decmean"":24.007313633333336,""objectId"":""ZTF23aapsuva""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/eb6a9b09-388e-4167-9146-4ad8fbae99d1.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/83ed5ac6-94b9-460d-bb47-d09ec3edd9c8.jpeg""}",10,2023-08-18 15:59:15 UTC,classification_count,2023-08-02 09:52:43 UTC,2023-08-02 09:52:43 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91041525><div>91041525</div></a>
91002182,yes,10,1.0,4.1.0,91002182,T0,10996,13193.0,114792,"{""ramean"":325.2463170454545,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aapsuva"",""decmean"":24.007308322727273,""objectId"":""ZTF23aapsuva""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/305aee04-4989-43a9-9d16-350bbd9f1a72.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/e676ed61-6d1e-4a39-9be4-43f1f2958c77.jpeg""}",10,2023-08-01 18:21:12 UTC,classification_count,2023-07-26 13:24:39 UTC,2023-07-26 13:24:39 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91002182><div>91002182</div></a>
90354208,yes,10,1.0,4.1.0,90354208,T0,10996,13193.0,114283,"{""ramean"":232.76545499090915,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aadesap"",""decmean"":53.40535955909092,""objectId"":""ZTF22aadesap""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/583b7b9f-ff13-4d37-8c57-a42fa3cb63c7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/e210c4c0-dd16-4323-a3d4-d06525301b0a.jpeg""}",10,2023-07-06 19:31:55 UTC,classification_count,2023-06-28 10:01:09 UTC,2023-06-28 10:01:09 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/90354208><div>90354208</div></a>
91002083,yes,10,1.0,4.1.0,91002083,T0,10996,13193.0,114792,"{""ramean"":307.05751547407414,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aaoyxjb"",""decmean"":51.21528309074074,""objectId"":""ZTF23aaoyxjb""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a58d84c4-30c6-40a7-a065-787b0fc1da54.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/80b51fa8-70f4-4af9-a9d7-57286a8ede41.jpeg""}",10,2023-08-01 16:34:49 UTC,classification_count,2023-07-26 13:23:58 UTC,2023-07-26 13:23:58 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91002083><div>91002083</div></a>
91002145,yes,10,1.0,4.1.0,91002145,T0,10996,13193.0,114792,"{""ramean"":232.76544904210527,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF22aafujzv"",""decmean"":53.40534584736843,""objectId"":""ZTF22aafujzv""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/8c111f2f-47e5-471a-ac1f-a46f2af76101.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/2221f337-d7c6-4ea1-a9d6-2367c41bd9a5.jpeg""}",10,2023-08-01 11:32:12 UTC,classification_count,2023-07-26 13:24:23 UTC,2023-07-26 13:24:23 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91002145><div>91002145</div></a>
91002156,yes,10,1.0,4.1.0,91002156,T0,10996,13193.0,114792,"{""ramean"":312.49948451904766,""ZTF_URL"":""https://lasair-ztf.lsst.ac.uk/objects/ZTF23aajjzbm"",""decmean"":-17.537037185714286,""objectId"":""ZTF23aajjzbm""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/28c89b11-a9b7-4836-9f26-abc7ba5f8dd3.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/9a6d4c10-6bbd-4ac4-9b64-6fc99fce3285.jpeg""}",10,2023-08-01 16:39:03 UTC,classification_count,2023-07-26 13:24:28 UTC,2023-07-26 13:24:28 UTC,<a href=https://zooniverse.github.io/slsn-data/subjects/91002156><div>91002156</div></a>
